month,begin_balance,sched_principal,prepayment,total_principal,interest,total_cash,end_balance,CPR,SMM
1,1000.0,-215.94479321125328,0.2028434725972055,-215.74194973865607,4.266666666666667,-211.4752830719894,1215.741949738656,0.002,0.00016681963994558124
2,1215.741949738656,-216.86529219680486,0.47841347340475343,-216.38687872340012,5.187165652218266,-211.19971307118186,1432.1288284620562,0.004,0.0003339460107422143
3,1432.1288284620562,-217.78854287935803,0.8272360567224155,-216.9613068226356,6.11041633477144,-210.85089048786418,1649.0901352846918,0.006,0.0005013802940021517
4,1649.0901352846918,-218.71424445513463,1.2497921368764835,-217.46445231825814,7.036117910548018,-210.4283344077101,1866.5545876029498,0.008,0.0006691236782786492
5,1866.5545876029498,-219.64209278502585,1.7465166274933448,-217.8955761575325,7.963966240439253,-209.93160991709325,2084.450163760482,0.01,0.0008371773591205889
6,2084.450163760482,-220.57178057663134,2.3177976186537106,-218.25398295797763,8.893654032044724,-209.3603289259329,2302.70414671846,0.012,0.0010055425391276573
7,2302.70414671846,-221.50299757058536,2.9639755933447653,-218.5390219772406,9.824871025998762,-208.71415095124183,2521.2431686957007,0.014,0.0011742204280067448
8,2521.2431686957007,-222.4354307310216,3.6853426845870576,-218.75008804643454,10.75730418643499,-207.99278385999955,2739.993256742135,0.016,0.0013432122426282334
9,2739.993256742135,-223.3687644400197,4.482141974577509,-218.8866224654422,11.690637895433111,-207.1959845700091,2958.8798792075772,0.018000000000000002,0.0015125192070827298
10,2958.8798792075772,-224.30268069587225,5.35456683715208,-218.94811385872018,12.624554151285663,-206.32355970743453,3177.8279930662975,0.02,0.001682142552739574
11,3177.8279930662975,-225.23685931500282,6.302760324815471,-218.93409899018735,13.558732770416203,-205.37536621977114,3396.762092056485,0.022,0.0018520835183041262
12,3396.762092056485,-226.17097813736095,7.326814601556584,-218.84416353580437,14.492851592774336,-204.35131194303003,3615.6062555922895,0.024,0.002022343349877165
13,3615.6062555922895,-227.1047132351137,8.426770422605207,-218.6779428125085,15.426586690527103,-203.2513561219814,3834.284198404798,0.026000000000000002,0.0021929233010143934
14,3834.284198404798,-228.03773912444709,9.602616662237471,-218.43512246220962,16.359612579860475,-202.07550988234914,4052.719320867008,0.028,0.002363824632785727
15,4052.719320867008,-228.96972898028582,10.854289890695108,-218.11543908959072,17.291602435699232,-200.82383665389148,4270.834759956599,0.03,0.002535048613836688
16,4270.834759956599,-229.90035485373477,12.181674001209881,-217.7186808525249,18.222228309148154,-199.49645254337673,4488.5534408091235,0.032,0.002706596520449356
17,4488.5534408091235,-230.82928789203888,13.584599888080612,-217.24468800395826,19.151161347452263,-198.093526656506,4705.798128813081,0.034,0.0028784696366042084
18,4705.798128813081,-231.75619856085575,15.062845176683144,-216.6933533841726,20.078072016269147,-196.61528136790346,4922.491482197254,0.036000000000000004,0.003050669254042293
19,4922.491482197254,-232.68075686862824,16.616134006240326,-216.06462286238792,21.00263032404162,-195.06199253834632,5138.5561050596425,0.038,0.003223196672329065
20,5138.5561050596425,-233.60263259284108,18.244136866097634,-215.35849572674346,21.924506048254475,-193.43398967848898,5353.914600786386,0.04,0.003396053198917559
21,5353.914600786386,-234.52149550794184,19.946470486205524,-214.5750250217363,22.843368963355246,-191.73165605838108,5568.489625808122,0.042,0.0035692401492131154
22,5568.489625808122,-235.43701561470127,21.72269778242386,-213.7143178322774,23.758889070114655,-189.95542876216274,5782.203943640399,0.044,0.0037427588466381057
23,5782.203943640399,-236.34886337078564,23.57232785721016,-212.77653551357548,24.67073682619904,-188.10579868737645,5994.980479153975,0.046,0.003916610622698213
24,5994.980479153975,-237.25670992231022,25.49481605616451,-211.76189386614573,25.578583377723625,-186.1833104884221,6206.74237302012,0.048,0.004090796817048492
25,6206.74237302012,-238.16022733613912,27.489564080848982,-210.67066325529012,26.48210079155251,-184.1885624637376,6417.41303627541,0.05,0.004265318777560645
26,6417.41303627541,-239.059088832695,29.555920158213166,-209.50316867448186,27.380962288108417,-182.12220638637345,6626.916204949892,0.052000000000000005,0.004440177860390748
27,6626.916204949892,-239.95296901903947,31.693179266887746,-208.25978975215173,28.274842474452875,-179.98494727769886,6835.175994702044,0.054,0.004615375430047641
28,6835.175994702044,-240.841544121982,33.90058342053605,-206.94096070144593,29.16341757739539,-177.77754312405054,7042.11695540349,0.056,0.004790912859462759
29,7042.11695540349,-241.72449222097484,36.177322008354444,-205.5471702126204,30.046365676388223,-175.50080453623215,7247.66412561611,0.058,0.004966791530059078
30,7247.66412561611,-242.60149348054867,38.52253219277636,-204.0789612877723,30.923366935962072,-173.15559435181024,7451.743086903883,0.06,0.005143012831822946
31,7451.743086903883,-243.47223038204316,39.576591120442004,-203.89563926160116,31.794103837456568,-172.1015354241446,7655.638726165484,0.06,0.005143012831822946
32,7655.638726165484,-244.34218510955935,40.629703197843874,-203.71248191171549,32.664058564972734,-171.04842334674277,7859.351208077199,0.06,0.005143012831822946
