month,begin_balance,sched_principal,prepayment,total_principal,interest,total_cash,end_balance,CPR,SMM
1,229000.0,-49451.35764537699,46.45115522476006,-49404.906490152236,977.0666666666667,-48427.83982348557,278404.90649015224,0.002,0.00016681963994558124
2,278404.90649015224,-49662.15191306831,109.55668540968854,-49552.59522765862,1187.8609343579828,-48364.73429330064,327957.50171781087,0.004,0.0003339460107422143
3,327957.50171781087,-49873.57631937299,189.43705698943316,-49684.139262383556,1399.2853406626598,-48284.853921720896,377641.64098019444,0.006,0.0005013802940021517
4,377641.64098019444,-50085.56198022582,286.2023993447147,-49799.35958088111,1611.2710015154964,-48188.08857936561,427441.0005610755,0.008,0.0006691236782786492
5,427441.0005610755,-50298.03924777092,399.95230769597595,-49898.08694007494,1823.7482690605889,-48074.33867101435,477339.08750115044,0.01,0.0008371773591205889
6,477339.08750115044,-50510.93775204857,530.7756546716998,-49980.16209737687,2036.646773338242,-47943.51532403863,527319.2495985273,0.012,0.0010055425391276573
7,527319.2495985273,-50724.186443664046,678.7504108759513,-50045.43603278809,2249.895464953717,-47795.540567834374,577364.6856313155,0.014,0.0011742204280067448
8,577364.6856313155,-50937.71363740394,843.9434747704362,-50093.770162633504,2463.422658693613,-47630.34750393989,627458.455793949,0.016,0.0013432122426282334
9,627458.455793949,-51151.44705676451,1026.4105121782495,-50125.03654458626,2677.156078054182,-47447.88046653208,677583.4923385353,0.018000000000000002,0.0015125192070827298
10,677583.4923385353,-51365.31387935475,1226.1958057078264,-50139.118073646925,2891.0229006444174,-47248.095173002504,727722.6104121822,0.02,0.001682142552739574
11,727722.6104121822,-51579.24078313564,1443.332114382743,-50135.9086687529,3104.949804425311,-47030.958864327586,777858.519080935,0.022,0.0018520835183041262
12,777858.519080935,-51793.15399345565,1677.8405437564577,-50115.31344969919,3318.863014745323,-46796.45043495387,827973.8325306342,0.024,0.002022343349877165
13,827973.8325306342,-52006.97933084103,1929.7304267765921,-50077.248904064436,3532.6883521307063,-46544.560551933726,878051.0814346987,0.026000000000000002,0.0021929233010143934
14,878051.0814346987,-52220.642259498374,2198.999215652381,-50021.643043845994,3746.351280788048,-46275.29176305795,928072.7244785447,0.028,0.002363824632785727
15,928072.7244785447,-52434.06793648545,2485.632384969179,-49948.435551516275,3959.776957775124,-45988.65859374115,978021.1600300609,0.03,0.002535048613836688
16,978021.1600300609,-52647.181261505255,2789.603346277062,-49857.57791522819,4172.890282794927,-45684.68763243326,1027878.7379452891,0.032,0.002706596520449356
17,1027878.7379452891,-52859.9069272769,3110.8733743704597,-49749.03355290644,4385.615948566568,-45363.41760433987,1077627.7714981956,0.034,0.0028784696366042084
18,1077627.7714981956,-53072.16947043596,3449.39154546044,-49622.77792497552,4597.878491725634,-45024.899433249884,1127250.5494231712,0.036000000000000004,0.003050669254042293
19,1127250.5494231712,-53283.89332291586,3805.094687429035,-49478.79863548682,4809.602344205531,-44669.19629128129,1176729.348058658,0.038,0.003223196672329065
20,1176729.348058658,-53495.0028637606,4177.907342336357,-49317.09552142424,5020.711885050274,-44296.38363637397,1226046.4435800822,0.04,0.003396053198917559
21,1226046.4435800822,-53705.42247131868,4567.741741341065,-49137.68072997761,5231.1314926083505,-43906.54923736926,1275184.1243100597,0.042,0.0035692401492131154
22,1275184.1243100597,-53915.07657576658,4974.497792175063,-48940.57878359152,5440.785597056255,-43499.793186535266,1324124.7030936512,0.044,0.0037427588466381057
23,1324124.7030936512,-54123.889711909906,5398.063079301125,-48725.82663260878,5649.598733199578,-43076.227899409205,1372850.52972626,0.046,0.003916610622698213
24,1372850.52972626,-54331.786572209036,5838.312876861672,-48493.47369534736,5857.49559349871,-42635.978101848654,1421344.0034216074,0.048,0.004090796817048492
25,1421344.0034216074,-54538.69205997585,6295.110174514416,-48243.58188546143,6064.401081265525,-42179.18080419591,1469587.585307069,0.05,0.004265318777560645
26,1469587.585307069,-54744.53134268716,6768.305716230814,-47976.22562645635,6270.240363976827,-41705.98526247952,1517563.8109335252,0.052000000000000005,0.004440177860390748
27,1517563.8109335252,-54949.229905360036,7257.7380521172945,-47691.49185324274,6474.938926649708,-41216.55292659303,1565255.302786768,0.054,0.004615375430047641
28,1565255.302786768,-55152.71360393387,7763.233603302755,-47389.48000063112,6678.422625223544,-40711.057375407574,1612644.7827873991,0.056,0.004790912859462759
29,1612644.7827873991,-55354.90871860323,8284.606739913168,-47070.301978690055,6880.617739892903,-40189.684238797156,1659715.0847660892,0.058,0.004966791530059078
30,1659715.0847660892,-55555.74200704564,8821.659872145787,-46734.08213489986,7081.451028335315,-39652.63110656454,1706449.1669009891,0.06,0.005143012831822946
31,1706449.1669009891,-55755.14075748788,9063.039366581219,-46692.10139090667,7280.849778777554,-39411.25161212911,1753141.2682918957,0.06,0.005143012831822946
32,1753141.2682918957,-55954.36039008908,9304.202032306248,-46650.158357782835,7480.069411378756,-39170.08894640408,1799791.4266496785,0.06,0.005143012831822946
33,1799791.4266496785,-56153.401065748956,9545.14806409587,-46608.25300165309,7679.110087038629,-38929.14291461446,1846399.6796513316,0.06,0.005143012831822946
34,1846399.6796513316,-56352.262945222676,9785.877656550118,-46566.38528867256,7877.971966512348,-38688.41332216021,1892966.0649400041,0.06,0.005143012831822946
35,1892966.0649400041,-56550.94618912101,10026.391004094208,-46524.5551850268,8076.655210410685,-38447.89997461611,1939490.6201250309,0.06,0.005143012831822946
36,1939490.6201250309,-56749.45095791046,10266.688300978718,-46482.76265693174,8275.159979200133,-38207.602677731615,1985973.3827819626,0.06,0.005143012831822946
37,1985973.3827819626,-56947.77741191337,10506.769741279724,-46441.00767063364,8473.486433203041,-37967.5212374306,2032414.3904525964,0.06,0.005143012831822946
38,2032414.3904525964,-57145.92571130807,10746.635518898973,-46399.2901924091,8671.634732597744,-37727.65545981136,2078813.6806450055,0.06,0.005143012831822946
39,2078813.6806450055,-57343.896016129016,10986.285827564025,-46357.61018856499,8869.60503741869,-37488.0051511463,2125171.2908335705,0.06,0.005143012831822946
40,2125171.2908335705,-57541.688486266896,11225.720860828416,-46315.96762543848,9067.397507556569,-37248.570117881914,2171487.258459009,0.06,0.005143012831822946
41,2171487.258459009,-57739.30328146877,11464.940812071825,-46274.36246939695,9265.01230275844,-37009.350166638505,2217761.6209284062,0.06,0.005143012831822946
42,2217761.6209284062,-57936.74056133819,11703.945874500208,-46232.79468683798,9462.449582627867,-36770.345104210115,2263994.4156152443,0.06,0.005143012831822946
43,2263994.4156152443,-58134.00048533537,11942.736241145976,-46191.26424418939,9659.709506625042,-36531.55473756435,2310185.679859434,0.06,0.005143012831822946
44,2310185.679859434,-58331.083212777245,12181.31210486813,-46149.77110790912,9856.792234066917,-36292.9788738422,2356335.450967343,0.06,0.005143012831822946
45,2356335.450967343,-58527.98890283766,12419.673658352438,-46108.31524448522,10053.697924127331,-36054.61732035789,2402443.766211828,0.06,0.005143012831822946
46,2402443.766211828,-58724.71771454746,12657.821094111578,-46066.89662043589,10250.426735837134,-35816.46988459875,2448510.6628322643,0.06,0.005143012831822946
47,2448510.6628322643,-58921.269806794655,12895.75460448529,-46025.51520230937,10446.978828084328,-35578.53637422504,2494536.178034574,0.06,0.005143012831822946
48,2494536.178034574,-59117.64533832451,13133.474381640543,-45984.17095668397,10643.354359614183,-35340.81659706979,2540520.3489912576,0.06,0.005143012831822946
49,2540520.3489912576,-59313.84446773969,13370.980617571682,-45942.86385016801,10839.553489029366,-35103.31036113865,2586463.2128414256,0.06,0.005143012831822946
